"","A_SECTOR","SHELF","AIMS_REEF_NAME","REEF_NAME","FULLREEF_ID","REPORT_YEAR","SITE_NO","TRANSECT_NO","region","id","Complexity","coral","algae","turf","cca","soft","acro","f.richness","f.N","f.biomass","simpD","shanH","N.herb","N.carn","FsimpD","FshanH","FsimpD2","FshanH2","comp1","comp2","fcomp1","fcomp2","lat","long"
"13288","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"3","4","Cairns","CA_M_ARLINGTON REEF_3_4_2018",NA,5,6.5,60,12.5,15,0.1,16,126,6235.88451886506,0.46,0.801818552543337,35,9,0.671957671957672,1.48471032120107,0.554673721340388,0.891118597692526,1.23744080044223,-1.52369523742955,-0.554230260907334,-1.48434559288719,NA,NA
"13417","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2018,"3","5","Cairns","CA_M_ARLINGTON REEF_3_5_2018",NA,14,4.5,53,13,11,0.178571428571429,27,93,15493.4830515611,0.75,1.55160716712359,38,8,0.818822985316222,1.87980831285557,0.557521100705284,0.99149960316029,-0.412932507974018,0.105586554716088,-0.572899277259603,-1.4755284450048,NA,NA
"13546","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"1","1","Cairns","CA_M_ARLINGTON REEF_1_1_2020",4,14,1.5,48,12.5,20,0.285714285714286,20,175,5368.50958622779,0.755102040816326,1.49440321137961,18,7,0.527151020408163,1.08826569967764,0.478824489795918,0.770768072924483,0.434545618738102,-0.472536005622709,-1.38909050073293,-1.06309176140192,NA,NA
"13675","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"1","2","Cairns","CA_M_ARLINGTON REEF_1_2_2020",3.5,7.5,3,52,8.5,25,0.133333333333333,18,119,11105.855887593,0.631111111111111,1.22933621590766,33,2,0.690487959889838,1.40068587814695,0.513523056281336,0.763922479344662,0.367775647872814,0.125574862043765,-1.50870173763273,-1.32894791749255,NA,NA
"13804","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"1","3","Cairns","CA_M_ARLINGTON REEF_1_3_2020",4.5,8.5,3,35.5,19,30,0,17,126,9416.96090571496,0.650519031141868,1.0733836203365,33,4,0.717939027462837,1.4721734652923,0.501889644746788,0.782326228024977,-0.698879885029654,-1.99996910316918,-1.32889646164543,-1.71618513051029,NA,NA
"13933","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"1","4","Cairns","CA_M_ARLINGTON REEF_1_4_2020",4.5,9,3.5,55.5,13.5,14,0,19,82,22159.6416323956,0.660493827160494,1.08930967895583,32,11,0.780785246876859,1.72670697383256,0.469660916121356,0.824065919435411,-0.789384283736044,-1.96261271324434,-1.13472699783395,-1.4898015929501,NA,NA
"14062","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"1","5","Cairns","CA_M_ARLINGTON REEF_1_5_2020",4,13,4,53.5,6,20,0.0384615384615385,28,159,16924.6213177868,0.600591715976331,1.04340337804618,28,16,0.57663858233456,1.2898792387354,0.529013883944464,0.911609298484483,0.0777072041387155,-0.792855581825486,-0.521700046175009,-0.555093835568317,NA,NA
"14191","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"2","1","Cairns","CA_M_ARLINGTON REEF_2_1_2020",4,11.4832535885167,0.956937799043062,71.2918660287081,9.56937799043062,5.26315789473684,0,15,92,12363.4327142291,0.552083333333333,1.02342433428577,32,5,0.723062381852552,1.43476042872921,0.532844990548204,0.93413154015503,-0.447238077519786,-1.4340385096805,-2.16538747272708,-1.06864869011571,NA,NA
"14320","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"2","2","Cairns","CA_M_ARLINGTON REEF_2_2_2020",4,13.5,1.5,65.5,7.5,11.5,0.222222222222222,21,127,15688.8253100277,0.713305898491084,1.3172020854118,56,9,0.708165416330833,1.46108460401013,0.539029078058156,0.873491240478096,0.652766226636966,-1.52815530268811,-0.67655211457982,-1.48568847560693,NA,NA
"14449","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"2","3","Cairns","CA_M_ARLINGTON REEF_2_3_2020",4.5,13.5,1,58.5,8,16.5,0.148148148148148,29,161,29025.9413750695,0.674897119341564,1.25193859373294,38,18,0.713938505458894,1.59277905123187,0.597816442266888,0.997838945784371,0.543176992006479,-1.69406548752413,0.0922201117640818,-0.814107279514476,NA,NA
"14578","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"2","4","Cairns","CA_M_ARLINGTON REEF_2_4_2020",3.5,18.7817258883249,4.06091370558376,53.2994923857868,9.13705583756345,12.1827411167513,0.0540540540540541,24,169,29876.610676515,0.631117604090577,1.21451601655949,34,9,0.600539196806834,1.28921479168606,0.520990161408914,0.834320528365907,-0.402240198635346,-0.758558258386357,-0.721313309338339,-1.30714897389742,NA,NA
"14707","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"2","5","Cairns","CA_M_ARLINGTON REEF_2_5_2020",4,12.0192307692308,0.961538461538462,38.4615384615385,13.4615384615385,30.7692307692308,0.08,15,101,8189.60270600604,0.6656,1.31734928255108,30,9,0.693657484560337,1.5100036324048,0.575433781001863,0.929914370521756,-1.08385884200403,-0.176439251004483,-0.878753280073361,-1.05801775415168,NA,NA
"14836","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"3","1","Cairns","CA_M_ARLINGTON REEF_3_1_2020",2.5,11.5,1,48.5,9.5,27,0,20,130,4437.59849848658,0.56710775047259,0.918963983120373,21,9,0.50189349112426,1.13885985659661,0.45905325443787,0.781292182264895,-0.5586181251996,-1.94373347543166,-1.19756146073211,-1.16960063965591,NA,NA
"14965","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"3","2","Cairns","CA_M_ARLINGTON REEF_3_2_2020",3,11.0552763819095,1.00502512562814,76.8844221105527,6.03015075376884,3.51758793969849,0.0454545454545455,22,111,14655.2177607925,0.752066115702479,1.46763544031603,31,9,0.669588507426345,1.41993035650481,0.57608960311663,0.959117132642872,-1.5453890215631,0.15094231737573,-1.13365457688435,-0.564680455939805,NA,NA
"15094","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"3","3","Cairns","CA_M_ARLINGTON REEF_3_3_2020",3,13,1.5,56.5,4.5,20.5,0.192307692307692,28,113,9344.50523313747,0.715976331360947,1.37411475666216,15,9,0.606155532931318,1.37604891976024,0.545853238311536,0.945857701823225,0.173407293658234,-0.89707857339933,-1.16112681667479,-0.287784834056395,NA,NA
"15223","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"3","4","Cairns","CA_M_ARLINGTON REEF_3_4_2020",2.5,15.7894736842105,2.87081339712919,47.8468899521531,6.2200956937799,23.9234449760766,0.151515151515152,19,108,2947.90877267102,0.703397612488522,1.48062197757492,22,7,0.616426611796982,1.34557996205315,0.531721536351166,0.859287404201475,-0.415115220584712,0.162672805509712,-1.24071716423134,-1.06944900276699,NA,NA
"15352","CA","M","Arlington Reef","ARLINGTON REEF","16064S",2020,"3","5","Cairns","CA_M_ARLINGTON REEF_3_5_2020",4,14.572864321608,1.00502512562814,51.2562814070352,7.53768844221105,22.1105527638191,0.0344827586206897,19,88,2823.55013330669,0.692033293697979,1.383610935003,19,6,0.634039256198347,1.4026597929838,0.555785123966942,0.957178599730932,-1.38685678394022,0.407610878414008,-1.65447597748566,-0.924330341201363,NA,NA
"27091","CB","O","Boult Reef","BOULT REEF","23079S",2018,"1","1","Capricorn Bunker","CB_O_BOULT REEF_1_1_2018",NA,43,0,29.5,13,8,0.686046511627907,28,185,11037.4538054693,0.512979989183342,0.947177329127797,39,21,0.672490869247626,1.56862336719104,0.616157779401023,1.12846424304037,1.52892070509738,0.189640411710195,0.211880236024042,-0.749864336123782,NA,NA
"27220","CB","O","Boult Reef","BOULT REEF","23079S",2018,"1","2","Capricorn Bunker","CB_O_BOULT REEF_1_2_2018",NA,44,0,38.5,8.5,4,0.647727272727273,31,246,12927.0694947687,0.56120867768595,1.0847573820805,46,22,0.644556811421773,1.48507229440265,0.58007799590191,1.04365790379497,1.22912292537834,0.19828143693826,0.363349936881173,-1.41980040258511,NA,NA
"27349","CB","O","Boult Reef","BOULT REEF","23079S",2018,"1","3","Capricorn Bunker","CB_O_BOULT REEF_1_3_2018",NA,50,0.5,36.5,7.5,1,0.79,29,143,8857.70408135365,0.3853,0.765140602223452,38,25,0.846789574062301,1.99852491249816,0.679739840579001,1.26110346596183,1.75356894412288,0.402029551360324,0.254560211858182,-0.84667888680899,NA,NA
"27478","CB","O","Boult Reef","BOULT REEF","23079S",2018,"1","4","Capricorn Bunker","CB_O_BOULT REEF_1_4_2018",NA,42.713567839196,0,39.6984924623116,12.0603015075377,1.50753768844221,0.858823529411765,22,145,16177.7747098149,0.250519031141868,0.508947082831747,83,14,0.832627824019025,1.91497963136732,0.394768133174792,0.796326383171075,1.79002852578521,0.220553542738391,0.520862199270876,-2.51591917785406,NA,NA
"27607","CB","O","Boult Reef","BOULT REEF","23079S",2018,"1","5","Capricorn Bunker","CB_O_BOULT REEF_1_5_2018",NA,45,0,39,9,2,0.777777777777778,29,157,9286.22882482153,0.395802469135803,0.766808839942088,39,21,0.766521968436853,1.77395149073278,0.655280133068279,1.17638141790116,1.57274402492584,0.504124529508303,0.0394456670417292,-1.51934207891834,NA,NA
"27736","CB","O","Boult Reef","BOULT REEF","23079S",2018,"2","1","Capricorn Bunker","CB_O_BOULT REEF_2_1_2018",3,59,0,25.5,6,2.5,0.847457627118644,31,200,11394.1908240778,0.270037345590348,0.55655436851766,32,60,0.758375,1.74485359939708,0.670975,1.17945869725023,1.78194896775244,0.135817462479687,0.996280377135217,-0.440218513612698,NA,NA
"27865","CB","O","Boult Reef","BOULT REEF","23079S",2018,"2","2","Capricorn Bunker","CB_O_BOULT REEF_2_2_2018",3.5,58.5,0,30.5,5.5,0.5,0.88034188034188,27,142,22826.8120000964,0.316020162174008,0.68423379749173,50,18,0.731303312834755,1.56508001459838,0.614263043047014,1.04733985368327,2.32624021959673,0.854505075366381,-0.773810470704098,-1.80253673632591,NA,NA
"27994","CB","O","Boult Reef","BOULT REEF","23079S",2018,"2","3","Capricorn Bunker","CB_O_BOULT REEF_2_3_2018",3,57.5,0.5,28,11,1,0.965217391304348,27,142,9201.81310007965,0.100869565217391,0.274240755448324,48,29,0.840309462408252,1.93331475732382,0.628942670105138,1.15396747723295,2.39883230495217,0.977621125426254,0.166173816608128,-1.83201991275267,NA,NA
"28123","CB","O","Boult Reef","BOULT REEF","23079S",2018,"2","4","Capricorn Bunker","CB_O_BOULT REEF_2_4_2018",3,42.5,0.5,43,13.5,0,0.835294117647059,24,216,12025.6088661487,0.496055363321799,0.976198598715345,83,23,0.764789094650206,1.71263861766061,0.613383058984911,1.07123407403791,2.1556847100767,1.13392392699048,0.842308294919719,-2.10279960607578,NA,NA
"28252","CB","O","Boult Reef","BOULT REEF","23079S",2018,"2","5","Capricorn Bunker","CB_O_BOULT REEF_2_5_2018",3,36,0,51.5,11,0.5,0.916666666666667,29,187,47786.9495949313,0.155864197530864,0.339878830414062,109,35,0.770339443507106,1.70174357623833,0.379021418971089,0.697866203560756,1.70708267066119,0.638484364427193,1.0084602972713,-3.04766971498794,NA,NA
"28381","CB","O","Boult Reef","BOULT REEF","23079S",2018,"3","1","Capricorn Bunker","CB_O_BOULT REEF_3_1_2018",2,64.5,0.5,30.5,3,1,0.992248062015504,20,81,4223.33062151276,0.089297518177994,0.209069262710681,27,26,0.785246151501296,1.72679610699627,0.528273129096174,0.912950656796045,2.66543814453123,1.50205587966817,-1.02341010619652,-1.78166469609185,NA,NA
"28510","CB","O","Boult Reef","BOULT REEF","23079S",2018,"3","2","Capricorn Bunker","CB_O_BOULT REEF_3_2_2018",2,21,1,60.5,17,0,0.738095238095238,10,89,4137.92968400418,0.424603174603175,0.756742514430274,19,5,0.442620881201868,0.90387518581342,0.417876530741068,0.720920608950687,1.30035668883871,-0.0184118724555597,-2.13713299751587,-1.18328025268889,NA,NA
"28639","CB","O","Boult Reef","BOULT REEF","23079S",2018,"3","3","Capricorn Bunker","CB_O_BOULT REEF_3_3_2018",2,36,0.5,54,8,0.5,0.847222222222222,15,122,3396.62388996488,0.270447530864198,0.532762617736738,28,25,0.637328675087342,1.27949759621247,0.609513571620532,1.04778603240571,1.34617512800002,0.472406356914817,-1.11248766026726,-1.45288084695481,NA,NA
"28768","CB","O","Boult Reef","BOULT REEF","23079S",2018,"3","4","Capricorn Bunker","CB_O_BOULT REEF_3_4_2018",2.5,14.5,0.5,67,18,0,0.655172413793103,20,242,14056.4882527014,0.568370986920333,1.13432988407524,56,9,0.4806365685404,1.04259597434199,0.437367666143023,0.720845811870583,1.39511006618453,0.0838919559315733,-0.267947957567706,-1.98456583786327,NA,NA
"28897","CB","O","Boult Reef","BOULT REEF","23079S",2018,"3","5","Capricorn Bunker","CB_O_BOULT REEF_3_5_2018",1.5,9,0.5,78,12,0,0.555555555555556,17,165,19173.9038016049,0.598765432098765,1.08707537716112,58,3,0.570431588613407,1.11426514022895,0.499981634527089,0.797704118995978,1.04813255555712,-0.639901986261675,-1.28253721007886,-1.06716014986973,NA,NA
"29026","CB","O","Boult Reef","BOULT REEF","23079S",2020,"1","1","Capricorn Bunker","CB_O_BOULT REEF_1_1_2020",3.5,8.5,0,64,10.5,9,0.117647058823529,29,128,10132.8558493264,0.595155709342561,1.12178531357477,37,11,0.7698974609375,1.71781748374712,0.652099609375,1.17492269880255,-0.517625558454481,-1.31816722045962,-1.11652670147791,-1.07450169572953,NA,NA
"29155","CB","O","Boult Reef","BOULT REEF","23079S",2020,"1","2","Capricorn Bunker","CB_O_BOULT REEF_1_2_2020",3.5,18.5365853658537,0,62.9268292682927,11.219512195122,6.34146341463415,0.236842105263158,25,129,8116.72282377049,0.5,1.01418691350722,25,16,0.730124391563007,1.72381140586205,0.645033351361096,1.16499572652247,0.153290580095896,0.0540647219743909,-0.278645384365175,-0.248487396731035,NA,NA
"29284","CB","O","Boult Reef","BOULT REEF","23079S",2020,"1","3","Capricorn Bunker","CB_O_BOULT REEF_1_3_2020",3.5,11,0,81,4.5,2,0.136363636363636,24,104,10612.8958491527,0.508264462809917,1.05560444881773,42,12,0.845784023668639,1.95951414912498,0.599852071005917,1.12027226034709,-0.16476752335306,-0.456378796453353,-0.584832405358054,-1.482637905733,NA,NA
"29413","CB","O","Boult Reef","BOULT REEF","23079S",2020,"1","4","Capricorn Bunker","CB_O_BOULT REEF_1_4_2020",3,10.5527638190955,1.50753768844221,66.8341708542713,19.5979899497487,1.00502512562814,0.428571428571429,26,115,11897.5734014044,0.662131519274376,1.21316343903614,41,12,0.848090737240076,2.01416905922813,0.585406427221172,1.10752793434083,1.40508618460328,0.664870868113639,-0.161849955113195,-1.22328210776915,NA,NA
"29542","CB","O","Boult Reef","BOULT REEF","23079S",2020,"1","5","Capricorn Bunker","CB_O_BOULT REEF_1_5_2020",3,7.21153846153846,0.480769230769231,85.0961538461538,2.88461538461538,0.961538461538462,0.933333333333333,35,139,20219.6242637793,0.48,0.803314976140876,54,22,0.867139382019564,2.09695644122764,0.667977847937477,1.2432591894947,2.53867479092714,2.70072346439654,0.856647080482982,-1.50128143162571,NA,NA
"29671","CB","O","Boult Reef","BOULT REEF","23079S",2020,"2","1","Capricorn Bunker","CB_O_BOULT REEF_2_1_2020",3.5,23.5,0,53,7,6,0.872340425531915,29,121,6814.90489568261,0.513354459031236,0.995645782644011,28,16,0.722901441158391,1.6845436581713,0.659244587118366,1.20799570165365,2.47884818954387,1.31048859044542,-0.411551539510065,-0.55385806712855,NA,NA
"29800","CB","O","Boult Reef","BOULT REEF","23079S",2020,"2","2","Capricorn Bunker","CB_O_BOULT REEF_2_2_2020",3,36.7647058823529,0,49.5098039215686,10.7843137254902,0,0.933333333333333,19,72,3181.1581491301,0.197333333333333,0.443415849407262,18,6,0.731867283950617,1.64344180028768,0.635416666666667,1.13953475038762,2.50483003624816,1.05736499145562,-1.91662468021504,-0.557074038124734,NA,NA
"29929","CB","O","Boult Reef","BOULT REEF","23079S",2020,"2","3","Capricorn Bunker","CB_O_BOULT REEF_2_3_2020",3,24.5,0.5,43,29.5,1,0.857142857142857,23,124,25448.8661176578,0.347771761765931,0.609838294466963,48,15,0.831945889698231,1.92214518132888,0.62031737773153,1.14072867580456,2.14613018945791,1.27106655867485,-0.220448429123332,-1.55830872639437,NA,NA
"30058","CB","O","Boult Reef","BOULT REEF","23079S",2020,"2","4","Capricorn Bunker","CB_O_BOULT REEF_2_4_2020",NA,46.5,0,41,11,0,0.913978494623656,23,107,5159.14037265893,0.301306509423055,0.610772387136487,32,12,0.795178618219932,1.81735391175473,0.640579963315573,1.14929285644957,2.1852933935832,1.39564290746778,-0.786976514684103,-1.43039780012439,NA,NA
"30187","CB","O","Boult Reef","BOULT REEF","23079S",2020,"2","5","Capricorn Bunker","CB_O_BOULT REEF_2_5_2020",NA,42.5,0,47,9.5,0.5,0.964705882352941,18,74,4841.20282430949,0.112941176470588,0.28577220359443,38,10,0.777574872169467,1.75139057016984,0.43864134404675,0.85341377761224,2.24091306813551,1.21602968403923,-1.32635393618195,-1.6238622306237,NA,NA
"30316","CB","O","Boult Reef","BOULT REEF","23079S",2020,"3","1","Capricorn Bunker","CB_O_BOULT REEF_3_1_2020",2.5,57.5,0,39.5,3,0,0.982608695652174,21,82,6399.08091228506,0.0341776937618148,0.0877050164013859,27,20,0.801606186793575,1.77039774185404,0.642474717430101,1.12902700985161,2.27629968282962,0.93915605583863,-1.0658089066753,-1.25997727715694,NA,NA
"30445","CB","O","Boult Reef","BOULT REEF","23079S",2020,"3","2","Capricorn Bunker","CB_O_BOULT REEF_3_2_2020",3,26.1682242990654,0.467289719626168,60.7476635514019,7.94392523364486,0,0.892857142857143,17,164,12515.233247331,0.196428571428572,0.408697725074314,44,22,0.600758477096966,1.27053487123788,0.556885782272457,0.934929166065811,1.58521143029191,0.572662173877148,-0.12190517464037,-1.57671164420327,NA,NA
"30574","CB","O","Boult Reef","BOULT REEF","23079S",2020,"3","3","Capricorn Bunker","CB_O_BOULT REEF_3_3_2020",3,42,0,51.5,6,0.5,0.857142857142857,22,124,12048.4924086191,0.256944444444445,0.510959831255328,29,23,0.712018730489074,1.61870816467413,0.633975026014568,1.11238259532453,1.63927698765542,0.290298592317028,-0.382671201546062,-1.40552002871717,NA,NA
"30703","CB","O","Boult Reef","BOULT REEF","23079S",2020,"3","4","Capricorn Bunker","CB_O_BOULT REEF_3_4_2020",3,38,0,58.5,3,0.5,0.763157894736842,11,137,6553.80085362167,0.486149584487535,1.00387099372649,28,9,0.437529969630774,0.902031365369741,0.42111993180244,0.733165115027097,1.93703586859202,0.485380044730095,-1.34941115955821,-1.34559751331361,NA,NA
"30832","CB","O","Boult Reef","BOULT REEF","23079S",2020,"3","5","Capricorn Bunker","CB_O_BOULT REEF_3_5_2020",2,18.5,0,73,8,0,0.621621621621622,20,169,29789.3492689468,0.550766983199416,1.00312616061379,65,8,0.615594692062603,1.29804099772389,0.53380483876615,0.866058421557946,1.51082913407378,-0.59601859119043,-0.0752750282219301,-1.49651626412092,NA,NA
"42571","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"1","1","Capricorn Bunker","CB_O_ERSKINE REEF_1_1_2018",1.5,6,2.5,60,4.5,3.5,0.583333333333333,10,183,6567.43521305646,0.541666666666667,0.887694275799104,1,6,0.228194332467377,0.512327490220957,0.226820747110992,0.471017372466464,0.504830373220366,0.0112166500726649,-2.50706486902457,0.732693991972317,-23.5083333333333,151.775
"42700","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"1","2","Capricorn Bunker","CB_O_ERSKINE REEF_1_2_2018",2,9,0,54.5,1.5,5.5,0.277777777777778,18,119,21601.9374385035,0.611111111111111,1.11999035565037,31,17,0.701362898100417,1.60421322896675,0.606595579408234,1.03053731397575,-0.188216292726117,0.17274479029166,-0.522903769831088,-0.830654939693544,-23.5083333333333,151.775
"42829","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"1","3","Capricorn Bunker","CB_O_ERSKINE REEF_1_3_2018",2.5,12.5,0,56.5,0,7,0.28,16,95,5410.90578185065,0.688,1.26530649068207,1,18,0.759224376731302,1.58731198929476,0.73595567867036,1.3595318460312,0.0756910058183336,-1.09253956508811,-1.7517336030855,1.2563018369456,-23.5083333333333,151.775
"42958","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"1","4","Capricorn Bunker","CB_O_ERSKINE REEF_1_4_2018",2.5,21,0,47.5,0.5,10,0.428571428571429,29,162,29493.6672247915,0.701814058956916,1.36867863688973,29,30,0.824874256973022,1.9449850723806,0.723975003810395,1.33407920823427,0.976840539226952,-0.0184887220313321,0.155196207011469,0.588495399344311,-23.5083333333333,151.775
"43087","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"1","5","Capricorn Bunker","CB_O_ERSKINE REEF_1_5_2018",2.5,15.5,0,52,0.5,15.5,0.387096774193548,22,111,7536.23748853849,0.732570239334027,1.35290675400265,10,24,0.781592403214025,1.75565336232585,0.697183670156643,1.26613290175081,0.161059338446851,0.784681754035975,-0.957325894767744,0.57716383906377,-23.5083333333333,151.775
"43216","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"2","1","Capricorn Bunker","CB_O_ERSKINE REEF_2_1_2018",2.5,36,1,55,0.5,7,0.972222222222222,19,164,3784.70010812597,0.304398148148148,0.549751514122452,4,17,0.632956573468174,1.36405238883134,0.614143367043426,1.13187634146375,2.59343193124229,2.98832677312882,-1.05617751683912,1.54290765003821,-23.5083333333333,151.775
"43345","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"2","2","Capricorn Bunker","CB_O_ERSKINE REEF_2_2_2018",2.5,47,2,41,0.5,5,0.776595744680851,23,174,6166.70867761174,0.556813037573563,1.10899269664545,10,23,0.727044523715154,1.57695890383542,0.696062888096182,1.28428490806755,1.6794153060415,1.52539374896589,-0.83002869530644,0.67529139047221,-23.5083333333333,151.775
"43474","CB","O","Erskine Island","ERSKINE REEF","23068S",2018,"2","3","Capricorn Bunker","CB_O_ERSKINE REEF_2_3_2018",3,73,3.5,21,2,0.5,0.917808219178082,19,229,7267.249484044,0.523456558453744,0.888647291414436,11,49,0.595755229686695,1.3632234588235,0.561392803340897,1.03376171467857,2.35977306388347,2.53584322461798,0.0656925174232504,1.45804150605566,-23.5083333333333,151.775
